date,papi-internal|gcp|production|es-client-stats-events-v2_fingerprinting
2021-07-03 17:28:00,1046
2021-07-03 17:29:00,1115
2021-07-03 17:30:00,1044
2021-07-03 17:31:00,1112
2021-07-03 17:32:00,1157
2021-07-03 17:33:00,919
2021-07-03 17:34:00,1158
2021-07-03 17:35:00,986
2021-07-03 17:36:00,955
2021-07-03 17:37:00,1177
2021-07-03 17:38:00,981
2021-07-03 17:39:00,962
2021-07-03 17:40:00,1072
2021-07-03 17:41:00,1025
2021-07-03 17:42:00,957
2021-07-03 17:43:00,879
2021-07-03 17:44:00,977
2021-07-03 17:45:00,968
2021-07-03 17:46:00,1038
2021-07-03 17:47:00,1096
2021-07-03 17:48:00,1018
2021-07-03 17:49:00,1149
2021-07-03 17:50:00,918
2021-07-03 17:51:00,1083
2021-07-03 17:52:00,1031
2021-07-03 17:53:00,1026
2021-07-03 17:54:00,1089
2021-07-03 17:55:00,938
2021-07-03 17:56:00,1121
2021-07-03 17:57:00,1008
2021-07-03 17:58:00,1119
2021-07-03 17:59:00,1053
2021-07-03 18:00:00,1124
2021-07-03 18:01:00,1109
2021-07-03 18:02:00,1126
2021-07-03 18:03:00,1020
2021-07-03 18:04:00,1120
2021-07-03 18:05:00,1167
2021-07-03 18:06:00,1031
2021-07-03 18:07:00,1055
2021-07-03 18:08:00,1051
2021-07-03 18:09:00,1112
2021-07-03 18:10:00,1017
2021-07-03 18:11:00,1188
2021-07-03 18:12:00,1075
2021-07-03 18:13:00,1133
2021-07-03 18:14:00,1118
2021-07-03 18:15:00,1072
2021-07-03 18:16:00,1027
2021-07-03 18:17:00,1112
2021-07-03 18:18:00,1130
2021-07-03 18:19:00,1204
2021-07-03 18:20:00,920
2021-07-03 18:21:00,1153
2021-07-03 18:22:00,1151
2021-07-03 18:23:00,1012
2021-07-03 18:24:00,1145
2021-07-03 18:25:00,1156
2021-07-03 18:26:00,1130
2021-07-03 18:27:00,1202
2021-07-03 18:28:00,1130
2021-07-03 18:29:00,1144
2021-07-03 18:30:00,1083
2021-07-03 18:31:00,1070
2021-07-03 18:32:00,1138
2021-07-03 18:33:00,1160
