date,terminator|aws|production
2021-05-10 02:55:00,247708.0
2021-05-10 03:05:00,248295.0
2021-05-10 03:15:00,247728.0
2021-05-10 03:25:00,247738.0
2021-05-10 03:35:00,247730.0
2021-05-10 03:45:00,247720.0
2021-05-10 03:55:00,247704.0
2021-05-10 04:05:00,246843.0
2021-05-10 04:15:00,247699.0
2021-05-10 04:25:00,247680.0
2021-05-10 04:35:00,248055.0
2021-05-10 04:45:00,247697.0
2021-05-10 04:55:00,247677.0
2021-05-10 05:05:00,247676.0
2021-05-10 05:15:00,247736.0
2021-05-10 05:25:00,247705.0
2021-05-10 05:35:00,247680.0
2021-05-10 05:45:00,247703.0
2021-05-10 05:55:00,247673.0
2021-05-10 06:05:00,247716.0
2021-05-10 06:15:00,247239.0
2021-05-10 06:25:00,247655.0
2021-05-10 06:35:00,247656.0
2021-05-10 06:45:00,247639.0
2021-05-10 06:55:00,247644.0
2021-05-10 07:05:00,247692.0
2021-05-10 07:15:00,247767.0
2021-05-10 07:25:00,247643.0
2021-05-10 07:35:00,247278.0
2021-05-10 07:45:00,247770.0
2021-05-10 07:55:00,247721.0
2021-05-10 08:05:00,247157.0
2021-05-10 08:15:00,247289.0
2021-05-10 08:25:00,247458.0
2021-05-10 08:35:00,247754.0
2021-05-10 08:45:00,247736.0
2021-05-10 08:55:00,247794.0
2021-05-10 09:05:00,247867.0
2021-05-10 09:15:00,247875.0
2021-05-10 09:25:00,247890.0
2021-05-10 09:35:00,247879.0
2021-05-10 09:45:00,247930.0
2021-05-10 09:55:00,247880.0
2021-05-10 10:05:00,247456.0
2021-05-10 10:15:00,247947.0
2021-05-10 10:25:00,247940.0
2021-05-10 10:35:00,247945.0
2021-05-10 10:45:00,247915.0
2021-05-10 10:55:00,247969.0
2021-05-10 11:05:00,247770.0
2021-05-10 11:15:00,247995.0
2021-05-10 11:25:00,248008.0
2021-05-10 11:35:00,247550.0
2021-05-10 11:45:00,248015.0
2021-05-10 11:55:00,248089.0
2021-05-10 12:05:00,247559.0
2021-05-10 12:15:00,247543.0
2021-05-10 12:25:00,248057.0
2021-05-10 12:35:00,248037.0
2021-05-10 12:45:00,247559.0
2021-05-10 12:55:00,247432.0
2021-05-10 13:05:00,248073.0
2021-05-10 13:15:00,247617.0
2021-05-10 13:25:00,248124.0
2021-05-10 13:35:00,248090.0
2021-05-10 13:45:00,247684.0
2021-05-10 13:55:00,248148.0
2021-05-10 14:05:00,248127.0
2021-05-10 14:15:00,247375.0
2021-05-10 14:25:00,248097.0
2021-05-10 14:35:00,248124.0
2021-05-10 14:45:00,248079.0
2021-05-10 14:55:00,247592.0
2021-05-10 15:05:00,247627.0
2021-05-10 15:15:00,248160.0
2021-05-10 15:25:00,248138.0
2021-05-10 15:35:00,248120.0
2021-05-10 15:45:00,248084.0
2021-05-10 15:55:00,247997.0
2021-05-10 16:05:00,247959.0
2021-05-10 16:15:00,248031.0
2021-05-10 16:25:00,247586.0
2021-05-10 16:35:00,248109.0
2021-05-10 16:45:00,248174.0
2021-05-10 16:55:00,248135.0
2021-05-10 17:05:00,248171.0
2021-05-10 17:15:00,247663.0
2021-05-10 17:25:00,248070.0
2021-05-10 17:35:00,248009.0
2021-05-10 17:45:00,247488.0
2021-05-10 17:55:00,247705.0
2021-05-10 18:05:00,247990.0
2021-05-10 18:15:00,248033.0
2021-05-10 18:25:00,248011.0
